1785632191.548280118	stopped	-
1785632191.751516816	stopped	-
1785632191.954592037	stopped	-
1785632192.157044693	stopped	-
1785632192.360463605	stopped	-
1785632192.563030916	stopped	-
1785632192.766904058	stopped	-
1785632192.970573733	stopped	-
1785632193.173574214	stopped	-
1785632193.376790574	stopped	-
1785632193.579897325	stopped	-
1785632193.783192083	stopped	-
1785632193.985829096	stopped	-
1785632194.188616454	stopped	-
1785632194.391331406	stopped	-
1785632194.593895983	stopped	-
1785632194.797093657	stopped	-
1785632195.000589133	stopped	-
1785632195.203702828	stopped	-
1785632195.409449259	stopped	-
1785632195.615641755	stopped	-
1785632195.818578505	stopped	-
1785632196.021393546	stopped	-
1785632196.224018888	stopped	-
1785632196.426318774	stopped	-
1785632196.629176146	stopped	-
1785632196.832591230	stopped	-
1785632197.035874105	stopped	-
1785632197.238557306	stopped	-
1785632197.441580680	stopped	-
1785632197.644660430	stopped	-
1785632197.847538210	stopped	-
1785632198.050244094	stopped	-
1785632198.253069463	stopped	-
1785632198.455669308	stopped	-
1785632198.658417433	stopped	-
1785632198.862404098	stopped	-
1785632199.066277188	stopped	-
1785632199.269376316	stopped	-
1785632199.472084124	stopped	-
1785632199.675400631	stopped	-
1785632199.878469222	stopped	-
1785632200.081300002	stopped	-
1785632200.284460094	stopped	-
1785632200.489613605	stopped	-
1785632200.694607044	stopped	-
1785632200.898203062	stopped	-
1785632201.101479874	stopped	-
1785632201.304202310	stopped	-
1785632201.507037388	stopped	-
1785632201.710111939	stopped	-
1785632201.912947869	stopped	-
1785632202.115859022	stopped	-
1785632202.318665886	stopped	-
1785632202.522240654	stopped	-
1785632202.726533517	stopped	-
1785632202.938176075	stopped	-
1785632203.146507893	stopped	-
1785632203.349642077	stopped	-
1785632203.552643760	stopped	-
1785632203.755871783	stopped	-
1785632203.959139348	stopped	-
1785632204.162487897	stopped	-
1785632204.367192949	stopped	-
1785632204.570830696	stopped	-
1785632204.773774088	stopped	-
1785632204.977066271	stopped	-
1785632205.179799527	stopped	-
1785632205.382703596	stopped	-
1785632205.585655666	stopped	-
1785632205.788396015	stopped	-
1785632205.990886823	stopped	-
1785632206.195150511	stopped	-
1785632206.407976436	stopped	-
1785632206.621867033	stopped	-
1785632206.824850241	stopped	-
1785632207.027585792	stopped	-
1785632207.230527983	stopped	-
1785632207.433274824	stopped	-
1785632207.635839662	stopped	-
1785632207.838389230	stopped	-
1785632208.041536589	stopped	-
1785632208.244701721	stopped	-
1785632208.447853809	stopped	-
1785632208.650427924	stopped	-
1785632208.853010985	stopped	-
1785632209.055715718	stopped	-
1785632209.258284843	stopped	-
1785632209.461064918	stopped	-
1785632209.664154927	stopped	-
1785632209.866911458	stopped	-
1785632210.070108290	stopped	-
1785632210.273268113	stopped	-
1785632210.476396746	stopped	-
1785632210.679180758	stopped	-
1785632210.881670974	stopped	-
1785632211.084285326	stopped	-
1785632211.286807883	stopped	-
1785632211.489681284	stopped	-
1785632211.693719145	stopped	-
1785632211.896983846	stopped	-
1785632212.099803935	stopped	-
1785632212.302809426	stopped	-
1785632212.506013452	stopped	-
1785632212.709118461	stopped	-
1785632212.912149690	stopped	-
1785632213.114869169	stopped	-
1785632213.317511073	stopped	-
1785632213.520152856	stopped	-
1785632213.723252244	stopped	-
1785632213.926358936	stopped	-
1785632214.129835767	stopped	-
1785632214.332925497	stopped	-
1785632214.535581217	stopped	-
1785632214.738241114	stopped	-
1785632214.941236966	stopped	-
1785632215.144757089	stopped	-
1785632215.347710010	stopped	-
1785632215.551339149	stopped	-
1785632215.754635220	stopped	-
1785632215.957655367	stopped	-
1785632216.161612537	stopped	-
1785632216.365987245	stopped	-
1785632216.569061747	stopped	-
1785632216.772914990	stopped	-
1785632216.977829048	stopped	-
1785632217.183063502	stopped	-
1785632217.386955538	stopped	-
1785632217.589808169	stopped	-
1785632217.792665770	stopped	-
1785632217.995492824	stopped	-
1785632218.198566713	stopped	-
1785632218.401717738	stopped	-
1785632218.604953134	stopped	-
1785632218.808322442	stopped	-
1785632219.011675320	stopped	-
1785632219.214574579	stopped	-
1785632219.417283569	stopped	-
